Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 12, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 31,457,280
  lm_head                 : 5,242,880
  transformer_matrices    : 58,983,360
  scalars                 : 24
  total                   : 100,926,424
Estimated FLOPs per token: 5.033222e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011059 | lrm: 1.00 | dt: 867ms | tok/sec: 75,567 | mfu: 3.8% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.895578 | lrm: 1.00 | dt: 755ms | tok/sec: 86,829 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.510854 | lrm: 1.00 | dt: 756ms | tok/sec: 86,700 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.106956 | lrm: 1.00 | dt: 756ms | tok/sec: 86,693 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.757889 | lrm: 1.00 | dt: 756ms | tok/sec: 86,698 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.469204 | lrm: 1.00 | dt: 756ms | tok/sec: 86,712 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.237580 | lrm: 1.00 | dt: 756ms | tok/sec: 86,687 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.060260 | lrm: 1.00 | dt: 756ms | tok/sec: 86,683 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.906242 | lrm: 1.00 | dt: 756ms | tok/sec: 86,709 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.759967 | lrm: 1.00 | dt: 756ms | tok/sec: 86,704 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.630212 | lrm: 1.00 | dt: 756ms | tok/sec: 86,656 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.524231 | lrm: 1.00 | dt: 757ms | tok/sec: 86,623 | mfu: 4.4% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.433988 | lrm: 1.00 | dt: 815ms | tok/sec: 80,447 | mfu: 4.1% | epoch: 1 | remaining: 298s    
step 00013 (0.5%) | loss: 6.364057 | lrm: 1.00 | dt: 757ms | tok/sec: 86,608 | mfu: 4.4% | epoch: 1 | remaining: 298s    
step 00031 (5.1%) | loss: 5.647868 | lrm: 1.00 | dt: 753ms | tok/sec: 86,980 | mfu: 4.4% | epoch: 1 | remaining: 284s    
step 00032 (5.3%) | loss: 5.637996 | lrm: 1.00 | dt: 754ms | tok/sec: 86,965 | mfu: 4.4% | epoch: 1 | remaining: 283s    
step 00033 (5.6%) | loss: 5.621345 | lrm: 1.00 | dt: 754ms | tok/sec: 86,963 | mfu: 4.4% | epoch: 1 | remaining: 283s    
step 00034 (5.8%) | loss: 5.601633 | lrm: 1.00 | dt: 754ms | tok/sec: 86,940 | mfu: 4.4% | epoch: 1 | remaining: 282s    
step 00035 (6.1%) | loss: 5.571877 | lrm: 1.00 | dt: 799ms | tok/sec: 82,069 | mfu: 4.2% | epoch: 1 | remaining: 281s    
step 00036 (6.3%) | loss: 5.546459 | lrm: 1.00 | dt: 765ms | tok/sec: 85,662 | mfu: 4.4% | epoch: 1 | remaining: 280s    
step 00037 (6.6%) | loss: 5.523825 | lrm: 1.00 | dt: 753ms | tok/sec: 86,990 | mfu: 4.4% | epoch: 1 | remaining: 279s    
step 00038 (6.8%) | loss: 5.498205 | lrm: 1.00 | dt: 754ms | tok/sec: 86,966 | mfu: 4.4% | epoch: 1 | remaining: 279s    
step 00039 (7.1%) | loss: 5.470580 | lrm: 1.00 | dt: 753ms | tok/sec: 86,984 | mfu: 4.4% | epoch: 1 | remaining: 278s    
step 00040 (7.3%) | loss: 5.452427 | lrm: 1.00 | dt: 754ms | tok/sec: 86,973 | mfu: 4.4% | epoch: 1 | remaining: 277s    
step 00041 (7.6%) | loss: 5.439903 | lrm: 1.00 | dt: 753ms | tok/sec: 86,977 | mfu: 4.4% | epoch: 1 | remaining: 276s    
step 00042 (7.8%) | loss: 5.427132 | lrm: 1.00 | dt: 753ms | tok/sec: 86,983 | mfu: 4.4% | epoch: 1 | remaining: 276s    
step 00043 (8.1%) | loss: 5.419941 | lrm: 1.00 | dt: 753ms | tok/sec: 86,995 | mfu: 4.4% | epoch: 1 | remaining: 275s    
step 00044 (8.3%) | loss: 5.409143 | lrm: 1.00 | dt: 753ms | tok/sec: 86,992 | mfu: 4.4% | epoch: 1 | remaining: 274s    
step 00045 (8.6%) | loss: 5.385780 | lrm: 1.00 | dt: 753ms | tok/sec: 86,997 | mfu: 4.4% | epoch: 1 | remaining: 273s    
step 00046 (8.8%) | loss: 5.369693 | lrm: 1.00 | dt: 753ms | tok/sec: 86,986 | mfu: 4.4% | epoch: 1 | remaining: 273s    
step 00047 (9.1%) | loss: 5.347833 | lrm: 1.00 | dt: 753ms | tok/sec: 87,002 | mfu: 4.4% | epoch: 1 | remaining: 272s    
step 00048 (9.3%) | loss: 5.317226 | lrm: 1.00 | dt: 754ms | tok/sec: 86,954 | mfu: 4.4% | epoch: 1 | remaining: 271s    
step 00049 (9.6%) | loss: 5.293696 | lrm: 1.00 | dt: 754ms | tok/sec: 86,968 | mfu: 4.4% | epoch: 1 | remaining: 270s    
step 00050 (9.8%) | loss: 5.270690 | lrm: 1.00 | dt: 754ms | tok/sec: 86,969 | mfu: 4.4% | epoch: 1 | remaining: 270s    
step 00051 (10.1%) | loss: 5.243037 | lrm: 1.00 | dt: 753ms | tok/sec: 86,983 | mfu: 4.4% | epoch: 1 | remaining: 269s    
step 00052 (10.3%) | loss: 5.225650 | lrm: 1.00 | dt: 754ms | tok/sec: 86,973 | mfu: 4.4% | epoch: 1 | remaining: 268s    
step 00053 (10.6%) | loss: 5.202449 | lrm: 1.00 | dt: 754ms | tok/sec: 86,949 | mfu: 4.4% | epoch: 1 | remaining: 267s    
step 00054 (10.9%) | loss: 5.195492 | lrm: 1.00 | dt: 753ms | tok/sec: 86,978 | mfu: 4.4% | epoch: 1 | remaining: 267s    
step 00055 (11.1%) | loss: 5.177156 | lrm: 1.00 | dt: 754ms | tok/sec: 86,974 | mfu: 4.4% | epoch: 1 | remaining: 266s    
step 00056 (11.4%) | loss: 5.169859 | lrm: 1.00 | dt: 753ms | tok/sec: 86,981 | mfu: 4.4% | epoch: 1 | remaining: 265s    
step 00057 (11.6%) | loss: 5.150754 | lrm: 1.00 | dt: 759ms | tok/sec: 86,343 | mfu: 4.4% | epoch: 1 | remaining: 264s    
step 00058 (11.9%) | loss: 5.133975 | lrm: 1.00 | dt: 780ms | tok/sec: 84,000 | mfu: 4.3% | epoch: 1 | remaining: 264s    
step 00059 (12.1%) | loss: 5.120597 | lrm: 1.00 | dt: 778ms | tok/sec: 84,216 | mfu: 4.3% | epoch: 1 | remaining: 263s    
step 00060 (12.4%) | loss: 5.103037 | lrm: 1.00 | dt: 754ms | tok/sec: 86,912 | mfu: 4.4% | epoch: 1 | remaining: 262s    
step 00061 (12.6%) | loss: 5.086475 | lrm: 1.00 | dt: 754ms | tok/sec: 86,972 | mfu: 4.4% | epoch: 1 | remaining: 261s    
step 00062 (12.9%) | loss: 5.067711 | lrm: 1.00 | dt: 754ms | tok/sec: 86,967 | mfu: 4.4% | epoch: 1 | remaining: 261s    
step 00063 (13.1%) | loss: 5.052974 | lrm: 1.00 | dt: 753ms | tok/sec: 86,976 | mfu: 4.4% | epoch: 1 | remaining: 260s    
step 00064 (13.4%) | loss: 5.032109 | lrm: 1.00 | dt: 753ms | tok/sec: 86,981 | mfu: 4.4% | epoch: 1 | remaining: 259s    
step 00065 (13.6%) | loss: 5.007477 | lrm: 1.00 | dt: 754ms | tok/sec: 86,968 | mfu: 4.4% | epoch: 1 | remaining: 258s    
step 00066 (13.9%) | loss: 4.987156 | lrm: 1.00 | dt: 753ms | tok/sec: 86,976 | mfu: 4.4% | epoch: 1 | remaining: 258s    
step 00067 (14.1%) | loss: 4.979038 | lrm: 1.00 | dt: 754ms | tok/sec: 86,947 | mfu: 4.4% | epoch: 1 | remaining: 257s    
step 00068 (14.4%) | loss: 4.962085 | lrm: 1.00 | dt: 753ms | tok/sec: 86,983 | mfu: 4.4% | epoch: 1 | remaining: 256s    
step 00069 (14.6%) | loss: 4.934203 | lrm: 1.00 | dt: 753ms | tok/sec: 86,982 | mfu: 4.4% | epoch: 1 | remaining: 255s    
step 00070 (14.9%) | loss: 4.917562 | lrm: 1.00 | dt: 753ms | tok/sec: 86,976 | mfu: 4.4% | epoch: 1 | remaining: 255s    
step 00071 (15.1%) | loss: 4.904459 | lrm: 1.00 | dt: 753ms | tok/sec: 86,993 | mfu: 4.4% | epoch: 1 | remaining: 254s    
step 00072 (15.4%) | loss: 4.891991 | lrm: 1.00 | dt: 753ms | tok/sec: 86,976 | mfu: 4.4% | epoch: 1 | remaining: 253s    
step 00073 (15.6%) | loss: 4.878909 | lrm: 1.00 | dt: 754ms | tok/sec: 86,962 | mfu: 4.4% | epoch: 1 | remaining: 252s    
step 00074 (15.9%) | loss: 4.867230 | lrm: 1.00 | dt: 754ms | tok/sec: 86,969 | mfu: 4.4% | epoch: 1 | remaining: 252s    
step 00075 (16.1%) | loss: 4.849650 | lrm: 1.00 | dt: 753ms | tok/sec: 86,978 | mfu: 4.4% | epoch: 1 | remaining: 251s    
step 00076 (16.4%) | loss: 4.835998 | lrm: 1.00 | dt: 754ms | tok/sec: 86,935 | mfu: 4.4% | epoch: 1 | remaining: 250s    
step 00077 (16.6%) | loss: 4.825578 | lrm: 1.00 | dt: 754ms | tok/sec: 86,973 | mfu: 4.4% | epoch: 1 | remaining: 249s    
step 00078 (16.9%) | loss: 4.812438 | lrm: 1.00 | dt: 753ms | tok/sec: 86,979 | mfu: 4.4% | epoch: 1 | remaining: 249s    
step 00079 (17.2%) | loss: 4.794109 | lrm: 1.00 | dt: 754ms | tok/sec: 86,975 | mfu: 4.4% | epoch: 1 | remaining: 248s    
step 00080 (17.4%) | loss: 4.788404 | lrm: 1.00 | dt: 754ms | tok/sec: 86,935 | mfu: 4.4% | epoch: 1 | remaining: 247s    
step 00081 (17.7%) | loss: 4.767301 | lrm: 1.00 | dt: 783ms | tok/sec: 83,720 | mfu: 4.3% | epoch: 1 | remaining: 246s    
step 00082 (17.9%) | loss: 4.747663 | lrm: 1.00 | dt: 797ms | tok/sec: 82,256 | mfu: 4.2% | epoch: 1 | remaining: 245s    
step 00083 (18.2%) | loss: 4.739194 | lrm: 1.00 | dt: 756ms | tok/sec: 86,657 | mfu: 4.4% | epoch: 1 | remaining: 245s    
step 00084 (18.4%) | loss: 4.718141 | lrm: 1.00 | dt: 756ms | tok/sec: 86,698 | mfu: 4.4% | epoch: 1 | remaining: 244s    
step 00085 (18.7%) | loss: 4.705900 | lrm: 1.00 | dt: 756ms | tok/sec: 86,655 | mfu: 4.4% | epoch: 1 | remaining: 243s    
step 00086 (18.9%) | loss: 4.687527 | lrm: 1.00 | dt: 756ms | tok/sec: 86,671 | mfu: 4.4% | epoch: 1 | remaining: 242s    
step 00087 (19.2%) | loss: 4.669273 | lrm: 1.00 | dt: 756ms | tok/sec: 86,681 | mfu: 4.4% | epoch: 1 | remaining: 242s    
step 00088 (19.4%) | loss: 4.658297 | lrm: 1.00 | dt: 756ms | tok/sec: 86,708 | mfu: 4.4% | epoch: 1 | remaining: 241s    
step 00089 (19.7%) | loss: 4.638136 | lrm: 1.00 | dt: 756ms | tok/sec: 86,716 | mfu: 4.4% | epoch: 1 | remaining: 240s    
step 00090 (19.9%) | loss: 4.622266 | lrm: 1.00 | dt: 756ms | tok/sec: 86,696 | mfu: 4.4% | epoch: 1 | remaining: 239s    
step 00091 (20.2%) | loss: 4.613426 | lrm: 1.00 | dt: 757ms | tok/sec: 86,589 | mfu: 4.4% | epoch: 1 | remaining: 239s    
step 00092 (20.4%) | loss: 4.596167 | lrm: 1.00 | dt: 756ms | tok/sec: 86,698 | mfu: 4.4% | epoch: 1 | remaining: 238s    
step 00093 (20.7%) | loss: 4.583651 | lrm: 1.00 | dt: 756ms | tok/sec: 86,671 | mfu: 4.4% | epoch: 1 | remaining: 237s    
step 00094 (21.0%) | loss: 4.573879 | lrm: 1.00 | dt: 756ms | tok/sec: 86,702 | mfu: 4.4% | epoch: 1 | remaining: 236s    
step 00095 (21.2%) | loss: 4.563672 | lrm: 1.00 | dt: 756ms | tok/sec: 86,654 | mfu: 4.4% | epoch: 1 | remaining: 236s    
step 00096 (21.5%) | loss: 4.552101 | lrm: 1.00 | dt: 756ms | tok/sec: 86,692 | mfu: 4.4% | epoch: 1 | remaining: 235s    
step 00097 (21.7%) | loss: 4.548997 | lrm: 1.00 | dt: 756ms | tok/sec: 86,702 | mfu: 4.4% | epoch: 1 | remaining: 234s    
step 00098 (22.0%) | loss: 4.530423 | lrm: 1.00 | dt: 756ms | tok/sec: 86,683 | mfu: 4.4% | epoch: 1 | remaining: 233s    
step 00099 (22.2%) | loss: 4.527122 | lrm: 1.00 | dt: 756ms | tok/sec: 86,677 | mfu: 4.4% | epoch: 1 | remaining: 233s    
step 00100 (22.5%) | loss: 4.509642 | lrm: 1.00 | dt: 756ms | tok/sec: 86,680 | mfu: 4.4% | epoch: 1 | remaining: 232s    
step 00101 (22.7%) | loss: 4.503735 | lrm: 1.00 | dt: 756ms | tok/sec: 86,699 | mfu: 4.4% | epoch: 1 | remaining: 231s    
step 00102 (23.0%) | loss: 4.494580 | lrm: 1.00 | dt: 756ms | tok/sec: 86,699 | mfu: 4.4% | epoch: 1 | remaining: 230s    
step 00103 (23.2%) | loss: 4.468878 | lrm: 1.00 | dt: 756ms | tok/sec: 86,685 | mfu: 4.4% | epoch: 1 | remaining: 230s    
step 00104 (23.5%) | loss: 4.467056 | lrm: 1.00 | dt: 803ms | tok/sec: 81,565 | mfu: 4.1% | epoch: 1 | remaining: 229s    
step 00105 (23.7%) | loss: 4.441002 | lrm: 1.00 | dt: 765ms | tok/sec: 85,622 | mfu: 4.4% | epoch: 1 | remaining: 228s    
step 00106 (24.0%) | loss: 4.425415 | lrm: 1.00 | dt: 756ms | tok/sec: 86,701 | mfu: 4.4% | epoch: 1 | remaining: 227s    
step 00107 (24.2%) | loss: 4.416268 | lrm: 1.00 | dt: 756ms | tok/sec: 86,708 | mfu: 4.4% | epoch: 1 | remaining: 227s    
step 00108 (24.5%) | loss: 4.408597 | lrm: 1.00 | dt: 756ms | tok/sec: 86,688 | mfu: 4.4% | epoch: 1 | remaining: 226s    
step 00109 (24.8%) | loss: 4.393011 | lrm: 1.00 | dt: 756ms | tok/sec: 86,698 | mfu: 4.4% | epoch: 1 | remaining: 225s    
step 00110 (25.0%) | loss: 4.383069 | lrm: 1.00 | dt: 756ms | tok/sec: 86,705 | mfu: 4.4% | epoch: 1 | remaining: 224s    
step 00111 (25.3%) | loss: 4.369675 | lrm: 1.00 | dt: 756ms | tok/sec: 86,695 | mfu: 4.4% | epoch: 1 | remaining: 223s    
step 00112 (25.5%) | loss: 4.355089 | lrm: 1.00 | dt: 756ms | tok/sec: 86,651 | mfu: 4.4% | epoch: 1 | remaining: 223s    
step 00113 (25.8%) | loss: 4.345628 | lrm: 1.00 | dt: 756ms | tok/sec: 86,694 | mfu: 4.4% | epoch: 1 | remaining: 222s    
step 00114 (26.0%) | loss: 4.340018 | lrm: 1.00 | dt: 756ms | tok/sec: 86,664 | mfu: 4.4% | epoch: 1 | remaining: 221s    
step 00115 (26.3%) | loss: 4.318072 | lrm: 1.00 | dt: 756ms | tok/sec: 86,706 | mfu: 4.4% | epoch: 1 | remaining: 220s    
step 00116 (26.5%) | loss: 4.308164 | lrm: 1.00 | dt: 756ms | tok/sec: 86,690 | mfu: 4.4% | epoch: 1 | remaining: 220s    
step 00117 (26.8%) | loss: 4.292163 | lrm: 1.00 | dt: 756ms | tok/sec: 86,684 | mfu: 4.4% | epoch: 1 | remaining: 219s    
step 00118 (27.0%) | loss: 4.277993 | lrm: 1.00 | dt: 756ms | tok/sec: 86,692 | mfu: 4.4% | epoch: 1 | remaining: 218s    
step 00119 (27.3%) | loss: 4.265496 | lrm: 1.00 | dt: 756ms | tok/sec: 86,707 | mfu: 4.4% | epoch: 1 | remaining: 217s    
step 00120 (27.5%) | loss: 4.250771 | lrm: 1.00 | dt: 756ms | tok/sec: 86,703 | mfu: 4.4% | epoch: 1 | remaining: 217s    
step 00121 (27.8%) | loss: 4.235364 | lrm: 1.00 | dt: 756ms | tok/sec: 86,697 | mfu: 4.4% | epoch: 1 | remaining: 216s    
step 00122 (28.0%) | loss: 4.229746 | lrm: 1.00 | dt: 756ms | tok/sec: 86,716 | mfu: 4.4% | epoch: 1 | remaining: 215s    
step 00123 (28.3%) | loss: 4.221760 | lrm: 1.00 | dt: 756ms | tok/sec: 86,669 | mfu: 4.4% | epoch: 1 | remaining: 214s    
step 00124 (28.5%) | loss: 4.208281 | lrm: 1.00 | dt: 756ms | tok/sec: 86,709 | mfu: 4.4% | epoch: 1 | remaining: 214s    
step 00125 (28.8%) | loss: 4.203346 | lrm: 1.00 | dt: 756ms | tok/sec: 86,677 | mfu: 4.4% | epoch: 1 | remaining: 213s    
step 00126 (29.0%) | loss: 4.196311 | lrm: 1.00 | dt: 756ms | tok/sec: 86,673 | mfu: 4.4% | epoch: 1 | remaining: 212s    
step 00127 (29.3%) | loss: 4.186791 | lrm: 1.00 | dt: 790ms | tok/sec: 82,941 | mfu: 4.2% | epoch: 1 | remaining: 211s    
step 00128 (29.5%) | loss: 4.173957 | lrm: 1.00 | dt: 782ms | tok/sec: 83,857 | mfu: 4.3% | epoch: 1 | remaining: 211s    
step 00129 (29.8%) | loss: 4.173152 | lrm: 1.00 | dt: 756ms | tok/sec: 86,672 | mfu: 4.4% | epoch: 1 | remaining: 210s    
step 00130 (30.1%) | loss: 4.172970 | lrm: 1.00 | dt: 756ms | tok/sec: 86,694 | mfu: 4.4% | epoch: 1 | remaining: 209s    
step 00131 (30.3%) | loss: 4.160279 | lrm: 1.00 | dt: 756ms | tok/sec: 86,704 | mfu: 4.4% | epoch: 1 | remaining: 208s    
step 00132 (30.6%) | loss: 4.157977 | lrm: 1.00 | dt: 756ms | tok/sec: 86,703 | mfu: 4.4% | epoch: 1 | remaining: 208s    
step 00133 (30.8%) | loss: 4.146200 | lrm: 1.00 | dt: 756ms | tok/sec: 86,669 | mfu: 4.4% | epoch: 1 | remaining: 207s    
step 00134 (31.1%) | loss: 4.135461 | lrm: 1.00 | dt: 756ms | tok/sec: 86,727 | mfu: 4.4% | epoch: 1 | remaining: 206s    
step 00135 (31.3%) | loss: 4.120388 | lrm: 1.00 | dt: 756ms | tok/sec: 86,721 | mfu: 4.4% | epoch: 1 | remaining: 205s    
step 00136 (31.6%) | loss: 4.108879 | lrm: 1.00 | dt: 756ms | tok/sec: 86,703 | mfu: 4.4% | epoch: 1 | remaining: 205s    
step 00137 (31.8%) | loss: 4.108293 | lrm: 1.00 | dt: 756ms | tok/sec: 86,697 | mfu: 4.4% | epoch: 1 | remaining: 204s    
step 00138 (32.1%) | loss: 4.100666 | lrm: 1.00 | dt: 756ms | tok/sec: 86,671 | mfu: 4.4% | epoch: 1 | remaining: 203s    
step 00139 (32.3%) | loss: 4.094150 | lrm: 1.00 | dt: 756ms | tok/sec: 86,677 | mfu: 4.4% | epoch: 1 | remaining: 202s    
step 00140 (32.6%) | loss: 4.078690 | lrm: 1.00 | dt: 756ms | tok/sec: 86,685 | mfu: 4.4% | epoch: 1 | remaining: 201s    
step 00141 (32.8%) | loss: 4.070440 | lrm: 1.00 | dt: 756ms | tok/sec: 86,712 | mfu: 4.4% | epoch: 1 | remaining: 201s    
step 00142 (33.1%) | loss: 4.048155 | lrm: 1.00 | dt: 756ms | tok/sec: 86,656 | mfu: 4.4% | epoch: 1 | remaining: 200s    
step 00143 (33.3%) | loss: 4.024146 | lrm: 1.00 | dt: 756ms | tok/sec: 86,682 | mfu: 4.4% | epoch: 1 | remaining: 199s    
step 00144 (33.6%) | loss: 4.020496 | lrm: 1.00 | dt: 756ms | tok/sec: 86,711 | mfu: 4.4% | epoch: 1 | remaining: 198s    
step 00145 (33.8%) | loss: 4.010616 | lrm: 1.00 | dt: 756ms | tok/sec: 86,696 | mfu: 4.4% | epoch: 1 | remaining: 198s    
step 00146 (34.1%) | loss: 3.999653 | lrm: 1.00 | dt: 756ms | tok/sec: 86,697 | mfu: 4.4% | epoch: 1 | remaining: 197s    
step 00147 (34.3%) | loss: 4.001991 | lrm: 1.00 | dt: 756ms | tok/sec: 86,696 | mfu: 4.4% | epoch: 1 | remaining: 196s    
step 00148 (34.6%) | loss: 4.011049 | lrm: 1.00 | dt: 756ms | tok/sec: 86,691 | mfu: 4.4% | epoch: 1 | remaining: 195s    
step 00149 (34.8%) | loss: 4.012912 | lrm: 1.00 | dt: 756ms | tok/sec: 86,695 | mfu: 4.4% | epoch: 1 | remaining: 195s    
step 00150 (35.1%) | loss: 4.002238 | lrm: 1.00 | dt: 784ms | tok/sec: 83,570 | mfu: 4.3% | epoch: 1 | remaining: 194s    
step 00151 (35.4%) | loss: 4.006141 | lrm: 1.00 | dt: 786ms | tok/sec: 83,403 | mfu: 4.2% | epoch: 1 | remaining: 193s    
step 00152 (35.6%) | loss: 4.001793 | lrm: 1.00 | dt: 757ms | tok/sec: 86,595 | mfu: 4.4% | epoch: 1 | remaining: 192s    
step 00153 (35.9%) | loss: 4.001210 | lrm: 1.00 | dt: 756ms | tok/sec: 86,685 | mfu: 4.4% | epoch: 1 | remaining: 192s    
step 00154 (36.1%) | loss: 3.992925 | lrm: 1.00 | dt: 756ms | tok/sec: 86,707 | mfu: 4.4% | epoch: 1 | remaining: 191s    
step 00155 (36.4%) | loss: 3.991212 | lrm: 1.00 | dt: 756ms | tok/sec: 86,701 | mfu: 4.4% | epoch: 1 | remaining: 190s    
